combo,lam,nu,V_over_M,K,chol_ok,chol_orth_err,ttr_orth_err,coef_maxdiff,mem_chol_elems,mem_ttr_elems,mem_chol_kb,mem_ttr_kb,time_chol_ms,time_ttr_ms
under,10.0,1.5,0.6935862900293316,1,True,9.992007221626409e-16,9.992007221626409e-16,4.440892098500626e-16,8,2,7.56640625,2.40625,0.1262999721802771,0.021600048057734966
under,10.0,1.5,0.6935862900293316,2,True,5.440092820663267e-14,1.3402273275936145e-15,1.652011860642233e-13,18,4,7.89453125,2.8828125,0.12030004290863872,0.03950000973418355
under,10.0,1.5,0.6935862900293316,3,True,1.2210232824827472e-12,3.601143080974205e-15,5.142553050063725e-12,32,6,8.36328125,3.1875,0.13650004984810948,0.05789997521787882
under,10.0,1.5,0.6935862900293316,4,True,1.0675904604795505e-12,1.6764367671839864e-14,8.768097359279636e-12,50,8,8.91015625,3.4921875,0.17259997548535466,0.07890001870691776
under,10.0,1.5,0.6935862900293316,9,True,1.18000586568634e-06,1.3296176816574133e-12,3.871826760359909e-05,200,18,12.763671875,5.078125,0.3154999576508999,0.21680002100765705
near-equi,5.0,0.95,1.047028197837828,1,True,4.218847493575595e-15,1.1102230246251565e-15,7.105427357601002e-15,8,2,7.763671875,2.84375,0.10980002116411924,0.021199986804276705
near-equi,5.0,0.95,1.047028197837828,2,True,1.1324274851176597e-14,1.124561856260729e-15,2.842170943040401e-14,18,4,8.154296875,3.3828125,0.14269998064264655,0.03940000897273421
near-equi,5.0,0.95,1.047028197837828,3,True,3.375077994860476e-14,3.564636641294662e-15,2.327027459614328e-13,32,6,8.685546875,3.75,0.15510001685470343,0.05849997978657484
near-equi,5.0,0.95,1.047028197837828,4,True,9.896528041508645e-13,1.5727003033205733e-14,2.348343741687131e-12,50,8,9.294921875,4.1171875,0.1686000032350421,0.07920002099126577
near-equi,5.0,0.95,1.047028197837828,9,True,9.989537786969649e-07,5.369161056848098e-13,1.6692983365373948e-05,200,18,13.513671875,6.015625,0.31590001890435815,0.21799997193738818
over,3.0,0.4,2.378647360472365,1,True,4.218847493575595e-15,8.46814830852907e-16,6.217248937900877e-15,8,2,9.232421875,5.4140625,0.11329998960718513,0.02239999594166875
over,3.0,0.4,2.378647360472365,2,True,3.885780586188048e-14,1.1584290516290186e-15,1.127986593019159e-13,18,4,10.04296875,6.3203125,0.13409997336566448,0.04050001734867692
over,3.0,0.4,2.378647360472365,3,True,1.0976775044468923e-12,4.945886467846895e-15,5.520028878436278e-12,32,6,11.099609375,7.0546875,0.1547999563626945,0.0589000410400331
over,3.0,0.4,2.378647360472365,4,True,9.229284003708926e-12,1.2084083733654438e-14,5.980282935524883e-11,50,8,13.20703125,7.7890625,0.18179998733103275,0.08159998105838895
over,3.0,0.4,2.378647360472365,9,True,1.5156514270309174e-06,7.904798790454367e-12,2.679860788035171e-05,200,18,24.130859375,11.5234375,0.32300001475960016,0.22260000696405768
